"origin_as","weeks","rankweeks","ngweeks","nnweeks"
1,184,2197,17713,120300
14,2,20,72,101
72,98,1220,4940,8517
86,9,187,1144,2942
97,22,103,990,3861
114,1,18,72,156
174,203,4784,32114,150108
189,2,39,757,1375
209,218,3312,117494,231892
225,25,96,1231,2231
226,73,705,4629,11505
237,1,7,45,95
262,3,8,99,108
271,168,4174,29779,50026
278,1,5,41,115
279,7,183,1686,4547
306,4,35,211,239
376,35,252,2491,5681
400,3,24,154,408
549,123,1464,6185,26059
560,10,162,924,4176
568,12,188,1063,3444
577,168,2909,16348,48007
637,3,12,131,265
684,47,363,2026,4210
685,1,18,71,222
690,43,352,8251,23513
701,324,7423,79665,403159
702,14,131,2179,10385
703,26,203,1443,7415
705,152,2695,23543,59552
719,106,1040,5818,52499
721,152,3058,75345,134432
724,91,1069,5884,19934
762,14,41,524,1641
764,1,1,12,36
786,1,25,192,495
803,55,386,2171,4100
812,75,932,24804,26852
813,32,400,2104,7982
816,95,1759,10218,40046
839,45,915,4317,5727
852,125,1343,11524,41384
855,193,2375,76388,98800
1221,337,7203,68170,284107
1237,4,47,182,406
1239,321,4915,55639,236139
1257,2,45,59,573
1267,35,706,2429,3369
1273,3,18,136,450
1580,3,26,617,726
1591,5,14,199,728
1653,7,164,636,899
1691,50,711,4508,11855
1717,10,164,1893,5523
1727,46,487,2913,7001
1740,2,50,269,877
1761,2,20,178,224
1785,226,3966,140048,275974
1790,3,49,267,972
1791,6,27,778,1147
1890,2,60,1480,2713
1899,2,45,203,580
1913,3,15,143,458
1942,10,131,720,1366
1967,31,665,2909,5136
1982,4,21,167,634
2007,1,3,38,167
2048,164,2445,20882,37389
2149,28,250,1723,9498
2386,280,3119,88234,242404
2493,140,3554,28045,70075
2548,18,137,3565,11273
2551,5,133,680,3411
2561,1,14,16,36
2563,7,162,1101,1660
2568,1,21,91,146
2609,60,1579,6648,7520
2652,4,10,170,484
2685,17,337,1408,3794
2686,8,16,1029,1804
2704,43,739,3184,11143
2706,29,378,14665,15725
2707,17,36,559,1099
2711,45,245,2050,4570
2715,6,135,568,940
2752,1,5,12,38
2764,8,74,532,3448
2828,2,54,745,959
2871,13,179,1023,2194
2907,6,23,152,1051
2939,1,22,109,186
3132,3,8,127,235
3134,1,23,115,175
3215,13,92,2169,4373
3218,4,74,259,304
3221,51,823,3125,5235
3233,2,3,106,210
3248,4,84,273,515
3301,3,70,591,2013
3303,1,6,16,110
3308,1,3,13,20
3352,31,190,7921,9338
3354,1,7,16,80
3356,154,1574,72219,161179
3397,19,303,2340,3439
3403,13,178,689,2329
3450,7,59,454,781
3464,102,1221,5907,14519
3491,10,65,473,1381
3493,27,205,1251,5405
3549,17,62,3707,7256
3561,56,386,3586,48218
3563,2,17,63,192
3564,11,36,345,637
3566,7,42,394,759
3575,2,11,124,160
3577,1,3,11,30
3602,291,4582,79927,133676
3603,3,16,163,273
3663,2,31,36,50
3737,32,209,1243,3660
3739,4,34,196,748
3749,174,3180,17301,27901
3751,9,200,685,1109
3790,1,7,44,61
3799,20,135,942,1453
3804,91,1730,7880,21198
3819,15,233,1223,1592
3824,2,4,80,126
3857,4,49,274,596
3908,125,2175,30249,80339
3909,1,30,516,1083
3996,5,23,297,563
4000,3,11,100,258
4134,341,6802,198388,300780
4151,114,2441,20159,34686
4175,7,37,339,3457
4200,134,2110,9603,21511
4230,5,69,449,1306
4262,1,23,88,213
4293,209,4889,24994,66617
4307,28,66,868,896
4313,1,13,53,67
4323,470,12128,514320,803874
4355,127,2182,34686,48214
4449,1,18,72,91
4454,28,193,1384,2033
4513,1,13,57,97
4519,32,232,5783,6243
4538,50,1391,146810,184829
4539,25,203,1092,1756
4614,1,1,36,68
4637,1,30,584,703
