"date","gcr_netsnow","gcr_netgain","acr_netsnow","acr_netgain"
"1997-11-14",59607,17916,3812,12525
"1997-11-21",57011,16368,2617,10002
"1997-11-28",59324,18333,2484,9876
"1997-12-05",61658,19670,2702,10187
"1997-12-12",62126,19973,2433,9709
"1997-12-19",61422,19319,2409,9600
"1997-12-26",61958,19510,692,3988
"1998-01-02",62021,19592,2500,9842
"1998-01-09",61897,19452,2478,9856
"1998-01-16",55672,13654,2476,10186
"1998-01-23",56603,14325,2643,10087
"1998-01-30",57712,15535,2737,10422
"1998-02-20",57485,15042,2564,9955
"1998-02-27",57944,14825,2373,9650
"1998-03-06",54901,13469,2470,8423
"1998-03-13",55702,14080,2393,8879
"1998-03-27",54659,12843,2431,7752
"1998-04-03",55019,13094,2402,7799
"1998-04-10",55152,13180,2591,8020
"1998-04-17",56496,13870,2603,8082
"1998-04-24",60994,17248,2652,8108
"1998-05-01",57734,13789,2661,8148
"1998-05-08",58233,14529,2618,8148
"1998-05-15",55526,12969,2560,8102
"1998-05-29",54913,12631,2618,8406
"1998-06-05",54282,12269,2370,7653
"1998-06-12",54896,12708,2523,8146
"1998-06-19",54499,12346,2489,7843
"1998-06-26",54745,12302,2513,7738
"1998-07-03",54435,12178,2513,7738
"1998-07-10",54522,12196,2558,8110
"1998-07-17",54757,12352,2573,8422
"1998-07-24",55145,12504,2543,8043
"1998-07-31",55274,12312,2474,8008
"1998-08-07",53953,11611,2536,8015
"1998-08-14",54120,11688,2526,8069
"1998-08-21",54762,11925,2588,8139
"1998-08-28",55479,12257,2606,8084
"1998-09-04",54998,11711,2399,7569
"1998-09-11",58152,14710,2414,7243
"1998-09-18",56963,13587,2324,7019
"1998-09-25",54266,10817,2231,6845
"1998-10-02",54385,10765,2211,6859
"1998-10-09",54827,11007,2181,6804
"1998-10-16",56852,12861,2429,7376
"1998-10-23",56557,12720,2551,7630
"1998-10-30",55364,11368,2327,7235
"1998-11-06",56778,12539,2257,7154
"1998-11-13",55723,11429,2156,7360
"1998-11-20",57093,12617,2659,8449
"1998-11-27",56294,11755,2197,7495
"1998-12-04",56527,11825,2191,7499
"1998-12-11",56371,11758,2182,7495
"1998-12-18",56735,11946,2241,7556
"1998-12-25",56877,12097,2248,7545
"1999-01-15",56960,11819,2117,7459
"1999-01-22",57174,11910,2109,7939
"1999-01-29",57519,12114,2083,7919
"1999-02-05",57433,11966,1961,6940
"1999-02-12",57699,11994,1910,6711
"1999-02-19",58444,12399,1864,6752
"1999-02-26",58247,11872,1879,7318
"1999-03-05",58318,11851,1887,7162
"1999-03-12",58745,12289,1910,7328
"1999-03-19",59268,12612,1966,6725
"1999-03-26",59720,12811,2112,6875
"1999-04-02",60646,13522,1886,6533
"1999-04-09",62488,13547,1931,6691
"1999-04-16",60341,12994,2025,6789
"1999-04-23",60796,12996,2015,6756
"1999-04-30",60673,12986,1992,6840
"1999-05-07",61212,13211,2010,6852
"1999-05-14",61146,13082,1893,6693
"1999-05-21",61310,13075,1905,6603
"1999-05-28",64387,15187,2477,7742
"1999-06-04",64535,15178,2487,7668
"1999-06-11",63580,13927,1831,6595
"1999-06-18",62462,13189,1837,6576
"1999-06-25",63351,13532,1837,6576
"1999-07-02",63292,13407,1907,6196
"1999-07-09",63873,13933,2102,6904
"1999-07-16",63605,13452,1917,5940
"1999-07-23",64477,13981,1882,6656
"1999-07-30",65366,14365,1940,6184
"1999-08-06",64742,14048,1911,5934
"1999-08-13",65586,14309,2489,7222
"1999-08-20",65861,14721,2004,6411
"1999-08-27",66112,15039,2004,6411
