"date","gcr_netsnow","gcr_netgain","acr_netsnow","acr_netgain"
"1997-11-14",59607,17916,20191,10713
"1997-11-21",57011,16368,17479,9380
"1997-11-28",59324,18333,18624,10086
"1997-12-05",61658,19670,20764,11665
"1997-12-12",62126,19973,19530,10563
"1997-12-19",61422,19319,19098,10294
"1997-12-26",61958,19510,17650,10209
"1998-01-02",62021,19592,19865,10703
"1998-01-09",61897,19452,19872,10780
"1998-01-16",55672,13654,16793,6587
"1998-01-23",56603,14325,14572,5913
"1998-01-30",57712,15535,16085,7338
"1998-02-20",57485,15042,14309,5974
"1998-02-27",57944,14825,13379,5134
"1998-03-06",54901,13469,10821,4373
"1998-03-13",55702,14080,12828,6061
"1998-03-27",54659,12843,10325,5014
"1998-04-03",55019,13094,10365,5075
"1998-04-10",55152,13180,10550,5284
"1998-04-17",56496,13870,10613,5309
"1998-04-24",60994,17248,14265,8921
"1998-05-01",57734,13789,10984,5511
"1998-05-08",58233,14529,10733,5168
"1998-05-15",55526,12969,10673,5032
"1998-05-29",54913,12631,10375,4527
"1998-06-05",54282,12269,9686,4046
"1998-06-12",54896,12708,10428,4611
"1998-06-19",54499,12346,9698,4073
"1998-06-26",54745,12302,9334,3821
"1998-07-03",54435,12178,9415,3895
"1998-07-10",54522,12196,9999,4017
"1998-07-17",54757,12352,10403,4107
"1998-07-24",55145,12504,9899,3972
"1998-07-31",55274,12312,9893,3858
"1998-08-07",53953,11611,9454,3703
"1998-08-14",54120,11688,9528,3763
"1998-08-21",54762,11925,10317,4388
"1998-08-28",55479,12257,10049,4240
"1998-09-04",54998,11711,9372,3779
"1998-09-11",58152,14710,9050,3950
"1998-09-18",56963,13587,8809,3622
"1998-09-25",54266,10817,8610,3420
"1998-10-02",54385,10765,8523,3398
"1998-10-09",54827,11007,8450,3427
"1998-10-16",56852,12861,9259,3865
"1998-10-23",56557,12720,9251,3855
"1998-10-30",55364,11368,9111,3758
"1998-11-06",56778,12539,9903,4584
"1998-11-13",55723,11429,9322,3614
"1998-11-20",57093,12617,10480,4618
"1998-11-27",56294,11755,9540,3683
"1998-12-04",56527,11825,9532,3724
"1998-12-11",56371,11758,9497,3680
"1998-12-18",56735,11946,9598,3861
"1998-12-25",56877,12097,9581,3870
"1999-01-15",56960,11819,9447,3554
"1999-01-22",57174,11910,10143,3459
"1999-01-29",57519,12114,10160,3447
"1999-02-05",57433,11966,8847,3277
"1999-02-12",57699,11994,8635,3170
"1999-02-19",58444,12399,8585,3084
"1999-02-26",58247,11872,9087,2849
"1999-03-05",58318,11851,8928,2860
"1999-03-12",58745,12289,9315,3129
