"origin_as","min","max"
1,31,326
14,36,36
72,47,56
86,107,143
97,42,48
114,72,72
174,40,590
189,369,388
209,35,2373
225,37,66
226,36,107
237,45,45
262,33,33
271,33,288
278,41,41
279,167,348
306,49,54
376,18,221
400,51,52
549,11,91
560,53,110
568,50,118
577,45,502
637,35,48
684,34,46
685,71,71
690,148,444
701,30,5198
702,46,398
703,46,62
705,59,1249
719,31,410
721,16,773
724,55,76
762,37,38
764,12,12
786,192,192
803,34,44
812,180,410
813,36,110
816,10,285
839,48,200
852,34,301
855,46,577
1221,32,468
1237,42,49
1239,14,317
1257,28,31
1267,37,81
1273,33,70
1580,184,234
1591,35,51
1653,90,91
1691,36,142
1717,44,1275
1727,34,79
1740,77,192
1761,26,152
1785,13,1538
1790,63,119
1791,62,164
1890,557,923
1899,99,104
1913,46,49
1942,72,72
1967,52,116
1982,39,43
2007,38,38
2048,17,237
2149,48,161
2386,50,684
2493,24,910
2548,57,463
2551,87,161
2561,16,16
2563,49,295
2568,91,91
2609,93,120
2652,36,45
2685,41,146
2686,11,151
2704,59,85
2706,468,522
2707,31,35
2711,39,59
2715,91,101
2752,12,12
2764,33,215
2828,370,375
2871,57,107
2907,14,31
2939,109,109
3132,39,44
3134,115,115
3215,43,341
3218,46,71
3221,42,74
3233,52,54
3248,67,70
3301,67,262
3303,16,16
3308,13,13
3352,73,281
3354,16,16
3356,166,748
3397,46,217
3403,39,58
3450,63,67
3464,38,68
3491,45,51
3493,38,68
3549,31,509
3561,14,213
3563,18,45
3564,14,37
3566,44,64
3575,62,62
3577,11,11
3602,45,472
3603,47,59
3663,18,18
3737,33,50
3739,47,54
3749,40,200
3751,73,77
3790,44,44
3799,42,48
3804,33,562
3819,58,100
3824,40,40
3857,42,148
3908,51,1089
3909,516,516
3996,54,65
4000,12,45
4134,163,1058
4151,39,1076
4175,43,58
4200,37,157
4230,72,136
4262,88,88
4293,54,230
4307,31,31
4313,53,53
4323,46,3381
4355,183,292
4449,72,72
4454,45,60
4513,57,57
4519,174,183
4538,51,4193
4539,34,50
4614,36,36
4637,584,584
4648,44,64
4668,283,453
4682,38,38
4683,49,49
4716,554,573
4740,38,75
4747,39,67
4755,34,1501
4763,34,59
4766,100,1391
4780,362,538
4792,66,66
4802,317,417
4804,351,618
4808,347,716
4812,335,563
4814,199,278
4969,66,66
4983,34,34
4999,84,896
5102,50,54
5103,42,42
5106,43,64
5381,22,22
5416,42,42
5515,44,96
5536,42,45
5650,59,70
5666,12,12
5668,53,1043
5674,37,44
5696,136,136
5769,37,114
5786,154,160
6082,40,40
6123,57,57
6140,138,404
6147,177,185
6167,181,281
6172,31,36
6181,32,49
6197,169,710
6198,166,861
6227,68,68
6235,235,264
6269,59,59
6298,418,1487
6327,146,200
6332,31,37
6335,36,52
6347,167,862
6389,373,4032
6391,56,56
6392,35,47
6412,36,36
6413,52,56
6429,48,114
6458,31,31
6467,179,391
6471,53,380
6478,151,1231
6499,41,110
6503,488,1580
6517,43,514
6528,38,42
6535,43,57
6539,150,150
6541,94,123
6595,45,193
6607,31,31
6629,30,40
6663,18,18
6753,24,24
6762,31,31
6822,18,18
6846,13,17
6897,15,36
6944,32,115
7011,274,491
7015,519,774
7018,53,570
7029,36,517
7046,42,332
7051,22,22
7058,48,48
7122,32,61
7132,148,788
7195,46,87
7260,55,61
7303,50,762
7390,31,36
7496,31,91
7545,36,964
7552,284,563
7568,32,58
7657,34,117
7725,226,494
7738,390,447
7745,30,35
7757,367,458
7843,199,496
7993,50,50
8006,126,133
8010,82,88
8013,33,112
8023,30,30
8103,379,470
8151,46,3860
8372,152,152
8390,32,32
8452,536,980
8505,114,126
8517,20,59
8895,54,70
9051,51,76
9198,457,459
9269,31,175
9299,442,461
9304,32,207
9394,610,624
9443,189,500
9453,31,31
9498,50,1111
9557,45,83
9583,139,536
9683,46,46
9706,73,206
9800,139,159
9808,448,466
9829,317,638
9842,49,49
9929,156,319
9942,310,319
10139,270,286
10292,43,46
10459,35,41
10479,31,31
10620,34,1168
10692,48,53
10722,27,42
10724,34,34
10733,28,28
10796,381,381
10921,38,38
10928,36,70
11003,68,72
11127,34,43
11139,25,46
11170,25,63
11172,150,303
11252,48,58
11305,102,510
11311,33,33
11367,26,26
11371,28,162
11418,29,29
11456,204,243
11492,142,806
11507,27,33
11515,31,31
11606,31,31
11686,26,81
11774,46,46
11781,26,26
11859,32,32
12062,31,31
12064,32,32
12067,31,31
12235,31,46
12302,38,93
12479,425,441
12497,31,31
12564,26,26
12709,26,26
13083,208,209
13208,26,26
13343,589,1154
13345,33,33
13544,46,53
13601,159,161
13999,52,127
14103,29,29
14117,393,393
14420,443,517
14562,45,45
14654,139,298
14824,167,176
15270,154,586
15288,47,47
15290,43,4995
15412,77,131
15557,213,328
16473,59,126
16758,52,57
16814,45,451
16852,148,328
17488,229,1301
17557,48,234
17561,51,51
17633,195,235
17676,155,578
17849,262,271
17908,401,705
17922,51,51
18101,213,949
18566,266,1052
19115,231,279
19262,145,1669
19632,51,183
19834,40,60
19916,213,519
20115,146,525
21502,232,273
22047,269,536
22291,162,215
22773,150,1189
22909,174,373
22927,195,284
23126,192,243
24560,373,860
24863,274,274
25844,226,248
27064,476,476
27364,174,543
28573,400,947
33363,640,817
33588,266,481
35805,418,611
36992,429,469
45595,445,469
