"date","rank0","rank1","rank2","rank3","rank4","rank9","rank14","rank29"
"1996-09-16",326,271,233,161,161,94,67,38
"1996-09-27",410,344,342,277,251,143,95,57
"1996-10-04",348,346,279,257,204,136,96,54
"1996-10-18",328,294,283,262,222,137,105,57
"1996-10-25",335,291,280,262,216,135,107,52
"1996-11-01",441,288,287,222,216,132,92,48
"1996-11-08",472,294,294,284,215,131,92,46
"1996-11-15",341,326,308,293,213,136,89,42
"1996-11-22",347,300,294,237,217,108,78,40
"1997-02-21",476,322,286,228,219,88,74,44
"1997-02-28",452,321,291,288,232,94,74,42
"1997-03-14",459,323,286,255,200,101,72,44
"1997-03-21",476,323,296,262,200,98,73,43
"1997-03-28",471,321,288,257,200,100,72,45
"1997-04-04",465,321,285,259,227,81,69,43
"1997-04-11",341,322,290,271,227,81,70,43
"1997-04-18",344,311,281,278,226,84,70,44
"1997-04-25",344,317,278,253,222,79,69,43
"1997-05-02",348,315,274,233,209,78,63,44
"1997-05-16",343,209,134,130,99,75,61,42
"1997-05-23",340,318,206,134,131,76,59,41
"1997-05-30",341,319,204,138,132,76,63,42
"1997-06-06",334,318,263,132,131,77,66,43
"1997-06-13",323,287,258,132,119,80,64,41
"1997-06-20",318,318,257,135,132,92,64,43
"1997-06-27",562,323,317,250,135,99,66,41
"1997-07-11",305,241,224,161,127,94,62,37
"1997-07-18",323,222,212,200,168,94,72,41
"1997-07-25",324,224,221,213,172,97,69,42
"1997-08-08",340,325,220,216,207,99,70,41
"1997-08-15",340,325,239,199,162,98,64,37
"1997-08-22",345,333,235,220,207,99,85,39
"1997-08-29",348,219,207,169,111,92,60,36
"1997-09-05",342,221,206,174,116,95,57,35
"1997-09-12",349,237,223,210,166,97,63,36
"1997-09-19",344,231,226,200,125,76,54,34
"1997-09-26",113,99,54,48,47,28,22,12
"1997-10-03",910,221,215,180,133,77,63,36
"1997-10-10",352,228,214,177,116,85,64,38
"1997-10-24",350,222,193,192,154,77,59,36
"1997-10-31",327,235,216,189,151,79,60,36
"1997-11-14",1275,317,233,217,187,80,62,37
"1997-11-21",355,235,218,185,156,71,58,35
"1997-11-28",294,221,204,164,150,71,59,36
"1997-12-05",313,247,220,204,170,72,59,37
"1997-12-12",310,210,193,169,151,62,56,34
"1997-12-19",307,216,211,169,151,62,55,34
"1997-12-26",99,48,45,40,34,22,18,10
"1998-01-02",307,218,207,172,157,65,55,39
"1998-01-09",292,212,209,172,147,72,55,36
"1998-01-16",306,212,205,171,150,72,55,37
"1998-01-23",309,235,214,204,177,70,55,37
"1998-01-30",340,243,209,197,181,76,58,38
"1998-02-20",272,264,224,165,153,72,55,37
"1998-02-27",223,203,172,164,161,72,54,37
"1998-03-06",223,209,175,161,153,72,56,39
"1998-03-13",222,219,182,162,155,63,55,37
"1998-03-27",224,217,205,165,159,68,55,37
"1998-04-03",225,210,182,164,159,68,55,36
"1998-04-10",224,215,211,165,157,72,58,38
"1998-04-17",222,216,212,168,164,74,59,36
"1998-04-24",244,224,209,176,163,74,60,36
"1998-05-01",242,224,219,183,178,72,58,36
"1998-05-08",235,227,224,193,181,70,58,37
"1998-05-15",225,223,220,193,177,69,59,38
"1998-05-22",284,224,219,184,178,69,53,37
"1998-05-29",285,230,206,189,183,69,58,37
"1998-06-05",226,210,188,184,179,67,58,36
"1998-06-12",223,210,193,192,189,67,59,36
"1998-06-19",221,208,197,191,188,68,58,36
"1998-06-26",205,205,198,195,191,70,62,37
"1998-07-03",205,205,198,195,191,70,62,37
"1998-07-10",208,204,204,202,195,70,57,37
"1998-07-17",207,205,202,196,193,81,57,37
"1998-07-24",212,203,200,196,178,70,57,37
"1998-07-31",218,201,194,189,176,70,55,37
"1998-08-07",231,203,190,184,166,82,61,37
"1998-08-14",232,200,191,187,160,84,58,37
"1998-08-21",234,231,191,187,158,83,58,36
"1998-08-28",232,226,198,186,157,81,66,36
"1998-09-04",224,197,185,157,155,77,58,34
"1998-09-11",229,197,187,178,157,76,58,31
"1998-09-18",231,196,187,158,155,77,53,31
"1998-09-25",198,173,160,156,131,76,52,33
"1998-10-02",197,173,156,155,136,73,53,33
"1998-10-09",197,172,153,149,132,75,49,31
"1998-10-16",278,197,173,158,154,75,53,31
"1998-10-23",257,202,173,160,152,87,64,33
"1998-10-30",202,195,175,160,152,77,53,31
"1998-11-06",199,194,177,160,150,63,51,31
"1998-11-13",199,181,160,150,133,64,52,31
"1998-11-20",516,196,160,150,135,79,56,33
"1998-11-27",196,156,148,135,135,74,56,33
"1998-12-04",197,160,147,134,133,72,56,33
"1998-12-11",197,160,147,140,136,72,56,32
"1998-12-18",242,159,147,138,136,72,56,33
"1998-12-25",245,147,145,140,138,79,57,32
"1999-01-01",246,153,147,144,138,78,57,31
"1999-01-08",246,160,149,147,123,72,56,32
"1999-01-15",245,153,146,114,94,71,55,33
"1999-01-22",244,153,146,114,108,71,54,31
"1999-01-29",247,158,149,112,108,66,54,31
"1999-02-05",246,146,115,102,92,62,52,31
"1999-02-12",246,118,116,108,92,62,51,31
"1999-02-19",215,118,116,108,84,63,52,31
"1999-02-26",211,117,112,108,80,64,52,31
"1999-03-05",211,118,115,108,82,64,57,31
"1999-03-12",212,117,115,108,82,64,57,31
"1999-03-19",211,117,113,108,105,68,57,32
"1999-03-26",211,174,116,109,107,70,62,33
"1999-04-02",200,114,107,99,86,64,58,31
"1999-04-09",211,110,107,105,89,66,58,31
"1999-04-16",208,107,106,94,93,71,61,31
"1999-04-23",212,110,107,106,89,70,63,31
"1999-04-30",212,110,107,101,88,70,62,31
"1999-05-07",212,113,107,101,91,69,61,31
"1999-05-14",211,106,91,85,84,69,59,31
"1999-05-21",210,105,98,89,85,69,59,31
"1999-05-28",659,211,105,94,86,66,57,31
"1999-06-04",653,205,105,93,91,66,59,31
"1999-06-11",202,107,93,92,78,61,57,31
"1999-06-18",202,105,93,92,78,61,57,31
"1999-06-25",202,105,93,92,78,61,57,31
"1999-07-02",203,109,95,93,91,73,56,31
"1999-07-09",237,203,109,95,94,73,59,31
"1999-07-16",203,109,98,92,89,73,57,30
"1999-07-23",203,94,93,92,89,74,55,31
"1999-07-30",201,93,92,92,91,75,59,31
"1999-08-06",196,104,97,92,92,75,57,30
"1999-08-13",557,195,104,97,94,76,70,30
"1999-08-20",190,114,100,94,94,75,69,30
"1999-08-27",190,114,100,94,94,75,69,30
"1999-10-01",237,114,107,100,95,77,56,31
"1999-10-08",240,165,114,113,109,82,72,31
"1999-10-15",240,165,136,120,109,86,72,32
"1999-10-22",239,166,137,124,120,86,74,31
"1999-10-29",239,171,120,115,110,85,63,31
"1999-11-05",242,174,115,112,110,85,59,32
"1999-11-19",923,242,131,115,108,84,57,33
"1999-11-26",242,129,112,110,101,85,64,33
"1999-12-03",242,136,115,114,102,86,70,33
"1999-12-10",242,137,116,115,101,88,75,34
"1999-12-17",242,142,114,113,111,86,67,32
"1999-12-24",242,142,115,113,113,87,73,35
"1999-12-31",242,138,113,111,104,81,71,36
"2000-01-07",242,158,113,113,106,85,67,36
"2000-01-14",113,106,93,91,77,51,37,31
"2000-01-21",242,143,110,109,107,91,74,39
"2000-01-28",242,142,116,112,109,89,77,40
"2000-02-04",286,146,116,114,105,87,77,42
"2000-02-11",286,143,136,116,107,93,77,42
"2000-02-18",283,160,136,123,117,92,78,44
"2000-02-25",285,146,134,128,125,93,78,42
"2000-03-24",280,159,145,132,129,88,76,45
"2000-03-31",284,164,145,132,126,89,80,44
"2000-04-07",285,148,134,132,113,89,79,44
"2000-04-21",220,152,137,123,111,90,76,49
"2000-05-12",285,164,138,127,121,87,75,42
"2000-05-19",285,164,138,127,121,87,75,42
"2000-05-26",285,164,138,127,121,87,75,42
"2000-06-02",285,164,138,127,121,87,75,42
"2000-06-09",288,175,173,164,124,87,72,40
"2000-06-16",288,171,160,147,133,91,76,48
"2000-06-23",288,174,172,142,133,92,72,41
"2000-06-30",287,200,174,128,126,92,72,45
"2000-07-07",287,180,170,142,132,98,84,45
"2000-07-14",283,210,158,127,120,91,87,48
"2000-07-21",287,241,159,133,120,91,77,48
"2000-07-28",283,246,165,130,120,93,77,47
"2000-08-04",281,191,154,123,120,94,75,52
"2000-08-11",281,159,138,129,120,99,85,52
"2000-08-18",278,159,140,129,111,99,85,52
"2000-09-08",275,165,146,130,120,103,83,54
"2000-09-15",280,162,161,140,126,102,83,56
"2000-09-22",277,206,160,139,137,103,87,62
"2000-09-29",278,246,161,144,136,107,94,62
"2000-10-06",278,213,167,145,130,104,91,62
"2000-10-13",278,168,133,129,120,101,82,54
"2000-10-20",279,151,141,131,120,101,86,54
"2000-10-27",273,151,133,128,120,98,86,54
"2000-11-03",281,154,120,100,85,64,53,35
"2000-11-24",295,169,112,112,109,94,81,53
"2000-12-08",468,234,156,144,119,91,80,57
"2000-12-15",440,182,159,153,119,88,77,56
"2000-12-22",440,167,155,153,122,90,77,56
"2000-12-29",437,155,153,122,119,85,77,56
"2001-01-05",437,155,153,122,119,85,77,56
"2001-02-11",416,191,148,125,116,93,72,56
"2001-02-16",416,195,153,133,125,97,72,56
"2001-02-23",212,153,126,120,111,90,76,56
"2001-03-02",397,214,126,120,109,90,72,56
"2001-03-09",401,215,158,126,120,93,79,55
"2001-03-16",400,161,110,109,105,91,70,53
"2001-03-23",374,167,109,102,100,84,62,51
"2001-03-30",401,173,109,103,101,76,59,49
"2001-04-06",401,181,112,112,102,83,62,49
"2001-04-13",398,188,131,107,103,85,61,47
"2001-04-20",398,186,117,109,108,89,61,46
"2001-04-27",412,187,135,112,111,85,64,46
"2001-05-04",362,187,161,130,112,90,64,46
"2001-06-01",353,92,55,53,53,42,33,26
"2001-06-08",359,59,57,50,46,37,31,25
"2001-06-15",360,186,115,115,114,78,62,46
"2001-06-22",341,199,121,115,99,81,61,46
"2001-06-29",347,213,115,99,96,80,61,46
"2001-07-06",342,214,112,101,92,80,62,45
"2001-07-13",338,217,114,104,96,91,64,48
"2001-07-20",346,215,111,110,97,82,64,48
"2001-07-27",341,215,109,107,99,87,67,49
"2001-08-03",338,215,124,121,109,91,72,50
"2001-08-10",289,210,147,124,112,96,66,49
"2001-08-17",288,218,161,124,109,100,67,50
"2001-08-24",287,212,161,125,109,96,66,50
"2001-08-31",306,211,129,121,109,94,66,47
"2001-09-07",314,209,129,121,112,96,68,45
"2001-09-14",310,200,123,121,111,95,65,46
"2001-09-21",303,203,127,121,109,94,68,47
"2001-09-28",301,128,125,119,116,82,63,45
"2001-10-05",300,132,125,120,111,68,59,42
"2001-10-12",285,221,132,125,119,100,74,51
"2001-10-19",287,135,127,125,120,77,64,43
"2001-10-26",283,134,127,121,107,71,57,42
"2001-11-02",280,211,138,125,119,98,72,47
"2001-11-09",281,243,137,125,118,100,69,51
"2001-11-16",280,137,125,118,104,68,64,42
"2001-11-23",274,241,137,131,126,94,75,50
"2001-11-30",276,140,121,84,79,65,52,36
"2001-12-07",277,133,121,121,85,76,56,42
"2001-12-14",269,230,134,126,124,85,80,50
"2001-12-21",270,230,132,124,122,89,79,50
"2001-12-28",270,230,134,124,121,87,79,51
"2002-01-04",274,227,136,124,121,86,76,50
"2002-01-18",271,233,132,124,121,96,78,51
"2002-01-25",271,234,132,124,121,97,78,52
"2002-02-01",270,234,131,124,121,101,76,51
"2002-02-08",264,231,126,121,118,100,77,51
"2002-02-15",263,245,126,121,118,86,72,51
"2002-02-22",264,244,128,124,123,95,77,52
"2002-03-01",264,257,128,121,117,102,79,52
"2002-03-08",264,257,134,121,118,102,76,53
"2002-03-22",255,252,151,140,121,101,76,53
"2002-03-29",254,157,121,114,107,77,60,42
"2002-05-31",270,249,176,159,131,94,80,54
"2002-06-07",268,246,188,159,131,93,85,47
"2002-06-14",267,245,186,154,131,93,84,53
"2002-06-21",273,244,184,132,130,94,85,53
"2002-06-28",251,248,186,146,131,93,84,53
"2002-07-05",251,247,197,152,130,94,77,46
"2002-07-12",249,248,197,167,142,94,78,46
"2002-07-19",248,243,192,167,137,95,83,55
"2002-07-26",250,239,192,172,137,95,77,54
"2002-08-02",250,241,193,172,137,94,75,56
"2002-08-09",254,240,194,168,141,93,75,56
"2002-08-16",230,219,171,169,137,93,73,51
"2002-08-23",229,217,174,164,143,93,75,50
"2002-09-16",762,483,454,418,411,286,233,149
"2002-09-27",778,503,500,463,462,298,247,160
"2002-10-04",1051,896,590,522,505,350,287,161
