"date","week","delta_netsnow_top30","gcr_greater_netsnow","ecr_greater_netsnow","delta_netgain_top30","gcr_greater_netgain","ecr_greater_netgain","min_missing_rank","not_in_top30","missing_ranks","missing_delta_ranks","min_missing_delta_ranks","max_missing_delta_ranks","delta_rank","gcr_greater_rank","ecr_greater_rank","prefixes_ecr_top30","prefixes_gcr_top30","prefixes_gcr_total","avg_missing"
"1997-11-14",0,7666,7666,0,6973,6937,36,15,11,249,243,7,87,370,339,31,12525,20191,59649,22
"1997-11-21",1,7477,7477,0,6827,6795,32,15,10,235,235,8,77,368,342,26,10002,17479,57051,23
"1997-11-28",2,8748,8748,0,7662,7632,30,15,10,233,258,9,84,422,386,36,9876,18624,59356,23
"1997-12-05",3,10577,10577,0,9019,8991,28,9,11,231,301,12,88,451,396,55,10187,20764,61690,21
"1997-12-12",4,9821,9821,0,8192,8161,31,9,13,264,345,12,71,494,448,46,9709,19530,62157,20
"1997-12-19",5,9498,9498,0,7939,7912,27,8,12,249,339,16,69,469,438,31,9600,19098,61454,20
"1997-12-26",6,13662,13662,0,9571,9544,27,1,18,277,1405,21,157,1513,1438,75,3988,17650,61988,15
"1998-01-02",7,10023,10023,0,8253,8228,25,11,10,205,270,17,70,438,385,53,9842,19865,62052,20
"1998-01-09",8,10016,10016,0,8350,8326,24,11,10,207,236,1,65,382,336,46,9856,19872,61929,20
"1998-01-16",9,6607,6607,0,4159,4135,24,11,9,182,254,16,70,415,347,68,10186,16793,55707,20
"1998-01-23",10,4485,4485,0,3314,3292,22,11,11,221,297,14,63,430,389,41,10087,14572,56637,20
"1998-01-30",11,5663,5663,0,4601,4601,0,11,11,231,242,14,30,399,337,62,10422,16085,57745,21
"1998-02-20",14,4354,4354,0,3454,3432,22,10,11,210,309,11,61,476,416,60,9955,14309,57517,19
"1998-02-27",15,3729,3729,0,2805,2783,22,10,13,248,351,16,62,491,449,42,9650,13379,57977,19
"1998-03-06",16,2398,2398,0,1921,1912,9,11,13,263,274,13,34,389,375,14,8423,10821,54934,20
"1998-03-13",17,3949,3949,0,3722,3695,27,9,12,226,296,14,58,453,391,62,8879,12828,55746,18
"1998-03-27",19,2573,2573,0,2611,2597,14,10,12,229,273,13,37,427,361,66,7752,10325,54692,19
"1998-04-03",20,2566,2566,0,2677,2675,2,9,11,205,249,16,31,410,347,63,7799,10365,55053,18
"1998-04-10",21,2530,2530,0,2695,2694,1,12,9,172,178,14,29,358,289,69,8020,10550,55185,19
"1998-04-17",22,2531,2531,0,2708,2707,1,12,10,193,211,7,31,390,326,64,8082,10613,56530,19
"1998-04-24",23,6157,6157,0,6275,6272,3,11,10,186,202,5,29,402,316,86,8108,14265,61027,18
"1998-05-01",24,2836,2836,0,2864,2857,7,9,10,188,234,13,33,412,335,77,8148,10984,57767,18
"1998-05-08",25,2585,2585,0,2564,2557,7,10,12,228,300,14,40,455,401,54,8148,10733,58264,19
"1998-05-15",26,2571,2571,0,2486,2479,7,9,12,205,298,15,34,439,368,71,8102,10673,55560,17
"1998-05-29",28,1969,1969,0,1935,1922,13,9,12,234,263,10,44,381,347,34,8406,10375,54945,19
"1998-06-05",29,2033,2033,0,1698,1687,11,8,12,241,280,9,46,444,397,47,7653,9686,54314,20
"1998-06-12",30,2282,2282,0,2110,2099,11,8,12,227,304,14,48,435,386,49,8146,10428,54925,18
"1998-06-19",31,1855,1855,0,1614,1599,15,7,12,239,289,10,50,424,385,39,7843,9698,54527,19
"1998-06-26",32,1596,1596,0,1332,1320,12,8,13,258,295,10,42,421,394,27,7738,9334,54771,19
"1998-07-03",33,1855,1766,89,1594,1488,106,8,14,269,676,11,378,791,754,37,7738,9415,54463,19
"1998-07-10",34,1889,1889,0,1477,1468,9,9,12,247,285,13,40,405,381,24,8110,9999,54553,20
