date,ge4,ge12,ge25,ge50,ge100,ge150,ge200,ge250,ge300
1997-11-14,0,0,0,0,0,0,0,0,0
1997-11-21,0,0,0,0,0,0,0,0,0
1997-11-28,0,0,0,0,0,0,0,0,0
1997-12-05,0,0,0,0,0,0,0,0,0
1997-12-12,52692,0,0,0,0,0,0,0,0
1997-12-19,53577,0,0,0,0,0,0,0,0
1997-12-26,56718,0,0,0,0,0,0,0,0
1998-01-02,59416,0,0,0,0,0,0,0,0
1998-01-09,60214,0,0,0,0,0,0,0,0
1998-01-16,61202,0,0,0,0,0,0,0,0
1998-01-23,62000,0,0,0,0,0,0,0,0
1998-01-30,62378,43170,0,0,0,0,0,0,0
1998-02-06,62852,43776,0,0,0,0,0,0,0
1998-02-13,63486,45439,0,0,0,0,0,0,0
1998-02-20,64489,47725,0,0,0,0,0,0,0
1998-02-27,65109,48282,0,0,0,0,0,0,0
1998-03-06,65556,49077,0,0,0,0,0,0,0
1998-03-13,66087,49655,0,0,0,0,0,0,0
1998-03-20,66699,50087,0,0,0,0,0,0,0
1998-03-27,67337,50584,0,0,0,0,0,0,0
1998-04-03,68170,51266,0,0,0,0,0,0,0
1998-04-10,68770,51765,0,0,0,0,0,0,0
1998-04-17,69481,52477,0,0,0,0,0,0,0
1998-04-24,70036,53016,36746,0,0,0,0,0,0
1998-05-01,70614,53504,37192,0,0,0,0,0,0
1998-05-08,71122,54142,38210,0,0,0,0,0,0
1998-05-15,71650,54688,40074,0,0,0,0,0,0
1998-05-29,72364,55265,40518,0,0,0,0,0,0
1998-06-05,72854,55783,41148,0,0,0,0,0,0
1998-06-12,73327,56223,41578,0,0,0,0,0,0
1998-06-19,73797,56683,41856,0,0,0,0,0,0
1998-06-26,74651,57166,42268,0,0,0,0,0,0
1998-07-03,75091,57591,42777,0,0,0,0,0,0
1998-07-10,75543,57985,43176,0,0,0,0,0,0
1998-07-17,76182,58645,43776,0,0,0,0,0,0
1998-07-24,76766,59109,44176,0,0,0,0,0,0
1998-07-31,77430,59515,44536,0,0,0,0,0,0
1998-08-07,77781,59914,45016,0,0,0,0,0,0
1998-08-14,78112,60618,45475,0,0,0,0,0,0
1998-08-21,78504,61000,45968,0,0,0,0,0,0
1998-08-28,78960,61362,46444,0,0,0,0,0,0
1998-09-04,79422,61836,46870,0,0,0,0,0,0
1998-09-11,79948,62298,47261,0,0,0,0,0,0
1998-09-18,80441,62704,47671,0,0,0,0,0,0
1998-09-25,80900,63018,48068,0,0,0,0,0,0
1998-10-02,81374,63340,48462,0,0,0,0,0,0
1998-10-09,81784,63707,48901,0,0,0,0,0,0
1998-10-16,82268,64086,49299,30663,0,0,0,0,0
1998-10-23,82663,64432,49725,30959,0,0,0,0,0
1998-10-30,83138,64814,50083,31314,0,0,0,0,0
1998-11-06,83668,65173,50638,32181,0,0,0,0,0
1998-11-13,84169,65577,50978,32488,0,0,0,0,0
1998-11-20,84690,65974,51288,32937,0,0,0,0,0
1998-11-27,85223,66360,51603,33289,0,0,0,0,0
1998-12-04,85645,66804,52028,33501,0,0,0,0,0
1998-12-11,86086,67168,52484,33810,0,0,0,0,0
1998-12-18,86599,67618,52783,34191,0,0,0,0,0
1998-12-25,87098,68015,53123,34439,0,0,0,0,0
1999-01-15,87602,68389,53459,34751,0,0,0,0,0
1999-01-22,87997,68850,53768,35045,0,0,0,0,0
1999-01-29,88525,69260,54076,35316,0,0,0,0,0
1999-02-05,88907,69614,54456,35693,0,0,0,0,0
1999-02-12,89891,70028,54756,36024,0,0,0,0,0
1999-02-19,90515,70514,55088,36402,0,0,0,0,0
1999-02-26,91073,70909,55412,36776,0,0,0,0,0
1999-03-05,91590,71281,55767,37116,0,0,0,0,0
1999-03-12,92056,71639,56175,37417,0,0,0,0,0
1999-03-19,92823,72050,56511,37722,0,0,0,0,0
1999-03-26,93317,72458,56902,38019,0,0,0,0,0
1999-04-02,93879,73321,57230,38320,0,0,0,0,0
