"acr_count","acr_date","gcr_count","gcr_date"
30,"1996-09-16",,
39,"1996-09-27",,
40,"1996-10-04",,
42,"1996-10-18",,
45,"1996-10-25",,
45,"1996-11-01",,
46,"1996-11-08",,
47,"1996-11-15",,
49,"1996-11-22",,
51,"1997-02-21",,
52,"1997-02-28",,
53,"1997-03-14",,
54,"1997-03-21",,
55,"1997-03-28",,
55,"1997-04-04",,
59,"1997-04-11",,
63,"1997-04-18",,
64,"1997-04-25",,
64,"1997-05-02",,
64,"1997-05-16",,
65,"1997-05-23",,
66,"1997-05-30",,
69,"1997-06-06",,
69,"1997-06-13",,
71,"1997-06-20",,
71,"1997-06-27",,
72,"1997-07-11",,
75,"1997-07-18",,
75,"1997-07-25",,
77,"1997-08-08",,
78,"1997-08-15",,
79,"1997-08-22",,
80,"1997-08-29",,
83,"1997-09-05",,
83,"1997-09-12",,
84,"1997-09-19",,
98,"1997-09-26",,
99,"1997-10-03",,
100,"1997-10-10",,
101,"1997-10-24",,
101,"1997-10-31",,
102,"1997-11-14",6004,"1997-11-14"
102,"1997-11-21",6076,"1997-11-21"
103,"1997-11-28",6124,"1997-11-28"
104,"1997-12-05",6178,"1997-12-05"
104,"1997-12-12",6260,"1997-12-12"
106,"1997-12-19",6278,"1997-12-19"
115,"1997-12-26",6326,"1997-12-26"
117,"1998-01-02",6346,"1998-01-02"
117,"1998-01-09",6388,"1998-01-09"
118,"1998-01-16",6432,"1998-01-16"
120,"1998-01-23",6492,"1998-01-23"
121,"1998-01-30",6538,"1998-01-30"
,,6578,"1998-02-06"
,,6642,"1998-02-13"
122,"1998-02-20",6680,"1998-02-20"
123,"1998-02-27",6756,"1998-02-27"
126,"1998-03-06",6724,"1998-03-06"
126,"1998-03-13",6804,"1998-03-13"
,,6842,"1998-03-20"
127,"1998-03-27",6900,"1998-03-27"
128,"1998-04-03",6960,"1998-04-03"
129,"1998-04-10",7056,"1998-04-10"
129,"1998-04-17",7080,"1998-04-17"
131,"1998-04-24",7134,"1998-04-24"
131,"1998-05-01",7146,"1998-05-01"
132,"1998-05-08",7174,"1998-05-08"
133,"1998-05-15",7226,"1998-05-15"
135,"1998-05-22",,
135,"1998-05-29",7298,"1998-05-29"
136,"1998-06-05",7344,"1998-06-05"
138,"1998-06-12",7352,"1998-06-12"
140,"1998-06-19",7402,"1998-06-19"
141,"1998-06-26",7454,"1998-06-26"
141,"1998-07-03",7486,"1998-07-03"
141,"1998-07-10",7532,"1998-07-10"
142,"1998-07-17",7574,"1998-07-17"
145,"1998-07-24",7612,"1998-07-24"
147,"1998-07-31",7654,"1998-07-31"
147,"1998-08-07",7682,"1998-08-07"
147,"1998-08-14",7690,"1998-08-14"
148,"1998-08-21",7888,"1998-08-21"
149,"1998-08-28",7934,"1998-08-28"
149,"1998-09-04",8014,"1998-09-04"
149,"1998-09-11",8198,"1998-09-11"
150,"1998-09-18",8140,"1998-09-18"
151,"1998-09-25",8180,"1998-09-25"
151,"1998-10-02",8254,"1998-10-02"
152,"1998-10-09",8246,"1998-10-09"
152,"1998-10-16",8282,"1998-10-16"
153,"1998-10-23",8334,"1998-10-23"
153,"1998-10-30",8384,"1998-10-30"
153,"1998-11-06",8448,"1998-11-06"
153,"1998-11-13",8524,"1998-11-13"
155,"1998-11-20",8564,"1998-11-20"
155,"1998-11-27",8586,"1998-11-27"
156,"1998-12-04",8668,"1998-12-04"
156,"1998-12-11",8694,"1998-12-11"
156,"1998-12-18",8738,"1998-12-18"
156,"1998-12-25",8808,"1998-12-25"
156,"1999-01-01",,
156,"1999-01-08",,
156,"1999-01-15",8914,"1999-01-15"
157,"1999-01-22",8976,"1999-01-22"
157,"1999-01-29",9054,"1999-01-29"
158,"1999-02-05",9090,"1999-02-05"
158,"1999-02-12",9188,"1999-02-12"
159,"1999-02-19",9230,"1999-02-19"
159,"1999-02-26",9322,"1999-02-26"
159,"1999-03-05",9372,"1999-03-05"
160,"1999-03-12",9430,"1999-03-12"
160,"1999-03-19",9490,"1999-03-19"
161,"1999-03-26",9578,"1999-03-26"
162,"1999-04-02",9664,"1999-04-02"
163,"1999-04-09",9712,"1999-04-09"
164,"1999-04-16",9758,"1999-04-16"
165,"1999-04-23",10008,"1999-04-23"
165,"1999-04-30",9898,"1999-04-30"
166,"1999-05-07",9958,"1999-05-07"
167,"1999-05-14",10046,"1999-05-14"
168,"1999-05-21",10134,"1999-05-21"
169,"1999-05-28",10204,"1999-05-28"
170,"1999-06-04",10250,"1999-06-04"
170,"1999-06-11",10296,"1999-06-11"
170,"1999-06-18",10398,"1999-06-18"
170,"1999-06-25",10500,"1999-06-25"
172,"1999-07-02",10590,"1999-07-02"
172,"1999-07-09",10626,"1999-07-09"
173,"1999-07-16",10720,"1999-07-16"
174,"1999-07-23",10790,"1999-07-23"
174,"1999-07-30",10868,"1999-07-30"
175,"1999-08-06",10902,"1999-08-06"
176,"1999-08-13",11012,"1999-08-13"
176,"1999-08-20",11078,"1999-08-20"
176,"1999-08-27",11112,"1999-08-27"
,,11208,"1999-09-03"
,,11294,"1999-09-10"
,,11374,"1999-09-17"
,,11530,"1999-09-24"
178,"1999-10-01",11612,"1999-10-01"
179,"1999-10-08",11692,"1999-10-08"
180,"1999-10-15",,
180,"1999-10-22",,
180,"1999-10-29",,
180,"1999-11-05",12134,"1999-11-05"
180,"1999-11-19",,
183,"1999-11-26",,
184,"1999-12-03",,
185,"1999-12-10",,
187,"1999-12-17",,
188,"1999-12-24",,
188,"1999-12-31",,
188,"2000-01-07",12946,"2000-01-07"
192,"2000-01-14",13062,"2000-01-14"
194,"2000-01-21",13198,"2000-01-21"
194,"2000-01-28",13260,"2000-01-28"
195,"2000-02-04",13328,"2000-02-04"
195,"2000-02-11",13468,"2000-02-11"
