"asn_count","on_or_before_date"
30,"1996-09-16"
39,"1996-09-27"
40,"1996-10-04"
42,"1996-10-18"
45,"1996-10-25"
45,"1996-11-01"
46,"1996-11-08"
47,"1996-11-15"
49,"1996-11-22"
51,"1997-02-21"
52,"1997-02-28"
53,"1997-03-14"
54,"1997-03-21"
55,"1997-03-28"
55,"1997-04-04"
59,"1997-04-11"
63,"1997-04-18"
64,"1997-04-25"
64,"1997-05-02"
64,"1997-05-16"
65,"1997-05-23"
66,"1997-05-30"
69,"1997-06-06"
69,"1997-06-13"
71,"1997-06-20"
71,"1997-06-27"
72,"1997-07-11"
75,"1997-07-18"
75,"1997-07-25"
77,"1997-08-08"
78,"1997-08-15"
79,"1997-08-22"
80,"1997-08-29"
83,"1997-09-05"
83,"1997-09-12"
84,"1997-09-19"
98,"1997-09-26"
99,"1997-10-03"
100,"1997-10-10"
101,"1997-10-24"
101,"1997-10-31"
102,"1997-11-14"
102,"1997-11-21"
103,"1997-11-28"
104,"1997-12-05"
104,"1997-12-12"
106,"1997-12-19"
115,"1997-12-26"
117,"1998-01-02"
117,"1998-01-09"
118,"1998-01-16"
120,"1998-01-23"
121,"1998-01-30"
122,"1998-02-20"
123,"1998-02-27"
126,"1998-03-06"
126,"1998-03-13"
127,"1998-03-27"
128,"1998-04-03"
129,"1998-04-10"
129,"1998-04-17"
131,"1998-04-24"
131,"1998-05-01"
132,"1998-05-08"
133,"1998-05-15"
135,"1998-05-22"
135,"1998-05-29"
136,"1998-06-05"
138,"1998-06-12"
140,"1998-06-19"
141,"1998-06-26"
141,"1998-07-03"
141,"1998-07-10"
142,"1998-07-17"
145,"1998-07-24"
147,"1998-07-31"
147,"1998-08-07"
147,"1998-08-14"
148,"1998-08-21"
149,"1998-08-28"
149,"1998-09-04"
149,"1998-09-11"
150,"1998-09-18"
151,"1998-09-25"
151,"1998-10-02"
152,"1998-10-09"
152,"1998-10-16"
153,"1998-10-23"
153,"1998-10-30"
153,"1998-11-06"
153,"1998-11-13"
155,"1998-11-20"
155,"1998-11-27"
156,"1998-12-04"
156,"1998-12-11"
156,"1998-12-18"
156,"1998-12-25"
156,"1999-01-01"
156,"1999-01-08"
156,"1999-01-15"
157,"1999-01-22"
157,"1999-01-29"
158,"1999-02-05"
158,"1999-02-12"
159,"1999-02-19"
159,"1999-02-26"
159,"1999-03-05"
160,"1999-03-12"
160,"1999-03-19"
161,"1999-03-26"
162,"1999-04-02"
163,"1999-04-09"
164,"1999-04-16"
165,"1999-04-23"
165,"1999-04-30"
166,"1999-05-07"
167,"1999-05-14"
168,"1999-05-21"
169,"1999-05-28"
170,"1999-06-04"
170,"1999-06-11"
170,"1999-06-18"
170,"1999-06-25"
172,"1999-07-02"
172,"1999-07-09"
173,"1999-07-16"
174,"1999-07-23"
174,"1999-07-30"
175,"1999-08-06"
176,"1999-08-13"
176,"1999-08-20"
176,"1999-08-27"
178,"1999-10-01"
179,"1999-10-08"
180,"1999-10-15"
180,"1999-10-22"
180,"1999-10-29"
180,"1999-11-05"
180,"1999-11-19"
183,"1999-11-26"
184,"1999-12-03"
185,"1999-12-10"
187,"1999-12-17"
188,"1999-12-24"
188,"1999-12-31"
188,"2000-01-07"
192,"2000-01-14"
194,"2000-01-21"
194,"2000-01-28"
195,"2000-02-04"
195,"2000-02-11"
196,"2000-02-18"
196,"2000-02-25"
198,"2000-03-24"
199,"2000-03-31"
200,"2000-04-07"
201,"2000-04-21"
201,"2000-05-12"
201,"2000-05-19"
201,"2000-05-26"
201,"2000-06-02"
202,"2000-06-09"
202,"2000-06-16"
202,"2000-06-23"
204,"2000-06-30"
204,"2000-07-07"
204,"2000-07-14"
206,"2000-07-21"
206,"2000-07-28"
207,"2000-08-04"
207,"2000-08-11"
207,"2000-08-18"
209,"2000-09-08"
209,"2000-09-15"
210,"2000-09-22"
212,"2000-09-29"
212,"2000-10-06"
213,"2000-10-13"
213,"2000-10-20"
213,"2000-10-27"
216,"2000-11-03"
216,"2000-11-24"
218,"2000-12-08"
218,"2000-12-15"
218,"2000-12-22"
218,"2000-12-29"
218,"2001-01-05"
220,"2001-02-11"
221,"2001-02-16"
222,"2001-02-23"
222,"2001-03-02"
222,"2001-03-09"
224,"2001-03-16"
224,"2001-03-23"
225,"2001-03-30"
226,"2001-04-06"
228,"2001-04-13"
229,"2001-04-20"
230,"2001-04-27"
231,"2001-05-04"
250,"2001-06-01"
254,"2001-06-08"
255,"2001-06-15"
255,"2001-06-22"
256,"2001-06-29"
256,"2001-07-06"
258,"2001-07-13"
259,"2001-07-20"
260,"2001-07-27"
261,"2001-08-03"
261,"2001-08-10"
261,"2001-08-17"
261,"2001-08-24"
262,"2001-08-31"
263,"2001-09-07"
263,"2001-09-14"
263,"2001-09-21"
265,"2001-09-28"
267,"2001-10-05"
267,"2001-10-12"
268,"2001-10-19"
271,"2001-10-26"
271,"2001-11-02"
272,"2001-11-09"
272,"2001-11-16"
273,"2001-11-23"
275,"2001-11-30"
275,"2001-12-07"
275,"2001-12-14"
275,"2001-12-21"
275,"2001-12-28"
276,"2002-01-04"
276,"2002-01-18"
277,"2002-01-25"
277,"2002-02-01"
278,"2002-02-08"
278,"2002-02-15"
278,"2002-02-22"
278,"2002-03-01"
278,"2002-03-08"
278,"2002-03-22"
282,"2002-03-29"
283,"2002-05-31"
283,"2002-06-07"
283,"2002-06-14"
283,"2002-06-21"
284,"2002-06-28"
284,"2002-07-05"
284,"2002-07-12"
284,"2002-07-19"
284,"2002-07-26"
284,"2002-08-02"
284,"2002-08-09"
285,"2002-08-16"
285,"2002-08-23"
298,"2002-09-16"
301,"2002-09-27"
301,"2002-10-04"
303,"2002-10-11"
304,"2002-10-18"
305,"2002-10-25"
305,"2002-11-01"
