"asn_count","on_or_before_date"
3002,"1997-11-14"
3056,"1997-11-21"
3102,"1997-11-28"
3143,"1997-12-05"
3181,"1997-12-12"
3211,"1997-12-19"
3245,"1997-12-26"
3262,"1998-01-02"
3288,"1998-01-09"
3327,"1998-01-16"
3365,"1998-01-23"
3399,"1998-01-30"
3432,"1998-02-06"
3462,"1998-02-13"
3495,"1998-02-20"
3533,"1998-02-27"
3567,"1998-03-06"
3611,"1998-03-13"
3647,"1998-03-20"
3683,"1998-03-27"
3717,"1998-04-03"
3756,"1998-04-10"
3784,"1998-04-17"
3819,"1998-04-24"
3851,"1998-05-01"
3883,"1998-05-08"
3916,"1998-05-15"
3972,"1998-05-29"
3997,"1998-06-05"
4019,"1998-06-12"
4049,"1998-06-19"
4083,"1998-06-26"
4107,"1998-07-03"
4136,"1998-07-10"
4162,"1998-07-17"
4185,"1998-07-24"
4213,"1998-07-31"
4239,"1998-08-07"
4278,"1998-08-14"
4381,"1998-08-21"
4414,"1998-08-28"
4453,"1998-09-04"
4488,"1998-09-11"
4521,"1998-09-18"
4557,"1998-09-25"
4594,"1998-10-02"
4620,"1998-10-09"
4653,"1998-10-16"
4692,"1998-10-23"
4728,"1998-10-30"
4766,"1998-11-06"
4803,"1998-11-13"
4829,"1998-11-20"
4850,"1998-11-27"
4889,"1998-12-04"
4925,"1998-12-11"
4961,"1998-12-18"
4991,"1998-12-25"
5078,"1999-01-15"
5109,"1999-01-22"
5150,"1999-01-29"
5180,"1999-02-05"
5216,"1999-02-12"
5258,"1999-02-19"
5310,"1999-02-26"
5345,"1999-03-05"
5380,"1999-03-12"
5428,"1999-03-19"
5471,"1999-03-26"
5515,"1999-04-02"
5544,"1999-04-09"
5583,"1999-04-16"
5703,"1999-04-23"
5748,"1999-04-30"
5784,"1999-05-07"
5821,"1999-05-14"
5868,"1999-05-21"
5901,"1999-05-28"
5936,"1999-06-04"
5975,"1999-06-11"
6030,"1999-06-18"
6080,"1999-06-25"
6130,"1999-07-02"
6157,"1999-07-09"
6201,"1999-07-16"
6257,"1999-07-23"
6299,"1999-07-30"
6341,"1999-08-06"
6394,"1999-08-13"
6443,"1999-08-20"
6477,"1999-08-27"
6532,"1999-09-03"
6571,"1999-09-10"
6633,"1999-09-17"
6695,"1999-09-24"
6745,"1999-10-01"
6798,"1999-10-08"
7049,"1999-11-05"
7523,"2000-01-07"
7595,"2000-01-14"
7659,"2000-01-21"
7723,"2000-01-28"
7771,"2000-02-04"
7844,"2000-02-11"
7918,"2000-02-18"
7982,"2000-02-25"
8045,"2000-03-03"
8122,"2000-03-10"
8193,"2000-03-17"
8284,"2000-03-24"
8360,"2000-03-31"
8428,"2000-04-07"
8572,"2000-04-21"
8629,"2000-04-28"
8691,"2000-05-05"
8750,"2000-05-12"
8815,"2000-05-19"
8858,"2000-05-26"
8917,"2000-06-02"
8991,"2000-06-09"
9061,"2000-06-16"
9133,"2000-06-23"
9204,"2000-06-30"
9268,"2000-07-07"
9339,"2000-07-14"
9410,"2000-07-21"
9483,"2000-07-28"
9561,"2000-08-04"
9624,"2000-08-11"
9720,"2000-08-18"
9798,"2000-08-25"
9875,"2000-09-01"
9949,"2000-09-08"
10034,"2000-09-15"
10112,"2000-09-22"
10184,"2000-09-29"
10252,"2000-10-06"
10336,"2000-10-13"
10417,"2000-10-20"
10502,"2000-10-27"
10599,"2000-11-03"
10698,"2000-11-10"
10795,"2000-11-17"
10882,"2000-11-24"
10947,"2000-12-01"
11022,"2000-12-08"
11145,"2000-12-15"
11212,"2000-12-22"
11260,"2000-12-29"
11300,"2001-01-05"
11379,"2001-01-12"
11456,"2001-01-19"
11523,"2001-01-26"
11600,"2001-02-02"
11764,"2001-02-16"
12005,"2001-02-23"
12116,"2001-03-02"
12204,"2001-03-09"
12284,"2001-03-16"
12694,"2001-04-20"
12775,"2001-04-27"
12859,"2001-05-04"
12932,"2001-05-11"
13017,"2001-05-18"
13125,"2001-05-25"
13207,"2001-06-01"
13283,"2001-06-08"
13360,"2001-06-15"
13430,"2001-06-22"
13511,"2001-06-29"
13670,"2001-07-13"
13762,"2001-07-20"
13836,"2001-07-27"
13922,"2001-08-03"
13988,"2001-08-10"
14065,"2001-08-17"
14129,"2001-08-24"
14213,"2001-08-31"
14276,"2001-09-07"
14363,"2001-09-14"
14419,"2001-09-21"
14508,"2001-09-28"
14574,"2001-10-05"
14652,"2001-10-12"
14730,"2001-10-19"
14817,"2001-10-26"
14899,"2001-11-02"
14977,"2001-11-09"
15062,"2001-11-16"
15134,"2001-11-23"
15205,"2001-11-30"
15291,"2001-12-07"
15361,"2001-12-14"
15445,"2001-12-21"
15472,"2001-12-28"
15501,"2002-01-04"
15544,"2002-01-11"
15624,"2002-01-18"
15688,"2002-01-25"
15762,"2002-02-01"
15824,"2002-02-08"
15883,"2002-02-15"
15942,"2002-02-22"
16024,"2002-03-01"
16088,"2002-03-08"
16163,"2002-03-15"
16223,"2002-03-22"
16288,"2002-03-29"
16355,"2002-04-05"
16428,"2002-04-12"
16508,"2002-04-19"
16578,"2002-04-26"
16638,"2002-05-03"
16690,"2002-05-10"
16747,"2002-05-17"
16805,"2002-05-24"
16865,"2002-05-31"
16920,"2002-06-07"
16978,"2002-06-14"
17047,"2002-06-21"
17116,"2002-06-28"
17164,"2002-07-05"
17219,"2002-07-12"
17291,"2002-07-19"
17358,"2002-07-26"
17417,"2002-08-02"
17474,"2002-08-09"
17530,"2002-08-16"
17589,"2002-08-23"
17650,"2002-08-30"
17702,"2002-09-06"
17770,"2002-09-13"
17855,"2002-09-20"
17911,"2002-09-27"
17973,"2002-10-04"
18043,"2002-10-11"
18092,"2002-10-18"
18209,"2002-11-01"
18266,"2002-11-08"
18323,"2002-11-15"
18397,"2002-11-22"
