"date","origin_as","netgain","netsnow"
"1998-01-02",1,61,869
"1998-01-02",72,48,84
"1998-01-02",174,207,882
"1998-01-02",271,55,111
"1998-01-02",549,57,218
"1998-01-02",684,39,82
"1998-01-02",701,95,973
"1998-01-02",719,45,505
"1998-01-02",816,172,571
"1998-01-02",839,92,123
"1998-01-02",1221,41,256
"1998-01-02",1239,52,580
"1998-01-02",1691,39,164
"1998-01-02",2048,65,153
"1998-01-02",2493,307,698
"1998-01-02",2711,39,96
"1998-01-02",3464,52,119
"1998-01-02",3561,42,936
"1998-01-02",3602,157,457
"1998-01-02",3749,136,190
"1998-01-02",3751,73,119
"1998-01-02",3804,62,202
"1998-01-02",4293,218,417
"1998-01-02",4648,50,190
"1998-01-02",4740,39,330
"1998-01-02",4747,50,114
"1998-01-02",4763,51,126
"1998-01-02",5668,65,102
"1998-01-02",6181,39,60
"1998-01-02",7545,52,115
"1999-01-01",72,48,88
"1999-01-01",174,123,671
"1999-01-01",271,246,392
"1999-01-01",549,66,220
"1999-01-01",577,45,208
"1999-01-01",701,144,1008
"1999-01-01",719,42,450
"1999-01-01",803,36,71
"1999-01-01",852,42,174
"1999-01-01",1221,57,378
"1999-01-01",1239,49,533
"1999-01-01",1267,78,107
"1999-01-01",1785,138,541
"1999-01-01",2493,147,327
"1999-01-01",3221,42,84
"1999-01-01",3749,153,228
"1999-01-01",4200,93,190
"1999-01-01",4293,72,208
"1999-01-01",4740,61,382
"1999-01-01",4755,82,148
"1999-01-01",5668,96,132
"1999-01-01",6332,31,100
"1999-01-01",6897,32,46
"1999-01-01",7046,56,248
"1999-01-01",7122,34,109
"1999-01-01",7496,45,73
"1999-01-01",7545,50,115
"1999-01-01",7657,45,138
"1999-01-01",8517,57,129
"1999-01-01",10928,49,93
"2000-01-07",1,38,523
"2000-01-07",174,85,561
"2000-01-07",209,53,342
"2000-01-07",271,242,383
"2000-01-07",577,78,258
"2000-01-07",684,46,92
"2000-01-07",701,37,953
"2000-01-07",705,67,241
"2000-01-07",816,56,234
"2000-01-07",1221,113,643
"2000-01-07",1653,91,129
"2000-01-07",2609,106,124
"2000-01-07",3749,74,135
"2000-01-07",4151,51,107
"2000-01-07",4200,66,171
"2000-01-07",4293,87,240
"2000-01-07",4740,55,330
"2000-01-07",4755,40,113
"2000-01-07",6172,36,149
"2000-01-07",6429,77,194
"2000-01-07",6528,38,46
"2000-01-07",7029,37,78
"2000-01-07",7046,158,426
"2000-01-07",7390,36,50
"2000-01-07",7496,75,111
"2000-01-07",7545,93,153
"2000-01-07",7568,38,54
"2000-01-07",7657,99,281
"2000-01-07",9269,113,134
"2000-01-07",9304,61,82
"2001-01-05",174,79,527
"2001-01-05",226,63,167
"2001-01-05",271,153,284
"2001-01-05",376,56,133
"2001-01-05",577,70,240
"2001-01-05",701,155,1581
"2001-01-05",705,85,326
"2001-01-05",724,72,244
"2001-01-05",1221,437,1652
"2001-01-05",1727,76,187
"2001-01-05",1942,72,137
"2001-01-05",2548,57,365
"2001-01-05",2563,87,127
"2001-01-05",3602,63,307
"2001-01-05",3749,64,122
"2001-01-05",3908,72,233
"2001-01-05",4151,77,278
"2001-01-05",4293,83,341
"2001-01-05",4755,85,209
"2001-01-05",5106,64,101
"2001-01-05",6595,99,162
"2001-01-05",7018,67,594
"2001-01-05",7046,75,329
"2001-01-05",7496,78,100
"2001-01-05",7545,122,189
"2001-01-05",7657,89,253
"2001-01-05",8013,105,449
"2001-01-05",9269,119,165
"2001-01-05",13999,72,79
"2001-01-05",16758,57,63
"2002-01-04",1,54,509
"2002-01-04",209,51,297
"2002-01-04",577,124,318
"2002-01-04",701,227,1363
"2002-01-04",703,62,282
"2002-01-04",705,100,283
"2002-01-04",724,65,231
"2002-01-04",1221,274,1175
"2002-01-04",1239,74,466
"2002-01-04",2048,80,185
"2002-01-04",2149,53,323
"2002-01-04",3464,62,160
"2002-01-04",3908,56,319
"2002-01-04",4151,136,308
"2002-01-04",4200,57,113
"2002-01-04",4323,54,367
"2002-01-04",4755,82,235
"2002-01-04",6471,55,122
"2002-01-04",6595,110,171
"2002-01-04",7018,116,811
"2002-01-04",7046,86,309
"2002-01-04",7303,50,99
"2002-01-04",8010,82,120
"2002-01-04",12302,76,108
"2002-01-04",13999,56,70
