"date","peer_id","sum"
"1997-11-14",1,49144
"1997-11-14",2,47758
"1997-11-14",3,49506
"1997-11-14",5,48688
"1997-11-14",6,48276
"1997-11-14",7,49595
"1997-11-14",8,51803
"1997-11-14",9,48328
"1997-11-14",11,48341
"1997-11-14",12,50998
"1997-11-14",14,1323
"1997-11-21",1,46583
"1997-11-21",2,45079
"1997-11-21",3,47385
"1997-11-21",5,46081
"1997-11-21",6,45555
"1997-11-21",7,47070
"1997-11-21",8,49460
"1997-11-21",9,45583
"1997-11-21",11,45604
"1997-11-21",12,48637
"1997-11-21",14,1138
"1997-11-28",1,46660
"1997-11-28",2,45279
"1997-11-28",3,48208
"1997-11-28",5,46282
"1997-11-28",6,45733
"1997-11-28",7,46948
"1997-11-28",8,49250
"1997-11-28",9,45555
"1997-11-28",11,45577
"1997-11-28",12,48381
"1997-11-28",14,2334
"1997-12-05",1,46985
"1997-12-05",2,45630
"1997-12-05",3,47815
"1997-12-05",4,48598
"1997-12-05",5,46639
"1997-12-05",6,46200
"1997-12-05",7,47795
"1997-12-05",8,49786
"1997-12-05",9,46135
"1997-12-05",11,46143
"1997-12-05",12,48729
"1997-12-05",13,31354
"1997-12-05",14,2535
"1997-12-05",16,12462
"1997-12-05",19,163
"1997-12-12",1,46627
"1997-12-12",2,45205
"1997-12-12",3,48095
"1997-12-12",4,48244
"1997-12-12",5,46320
"1997-12-12",6,45940
"1997-12-12",7,46966
"1997-12-12",8,49247
"1997-12-12",9,45786
"1997-12-12",11,45810
"1997-12-12",12,48269
"1997-12-12",13,31603
"1997-12-12",14,2409
"1997-12-12",15,1047
"1997-12-12",16,12402
"1997-12-12",19,165
"1997-12-19",1,46700
"1997-12-19",2,45513
"1997-12-19",3,48261
"1997-12-19",4,48468
"1997-12-19",5,46567
"1997-12-19",6,46246
"1997-12-19",7,46990
"1997-12-19",8,49446
"1997-12-19",9,45861
"1997-12-19",11,45887
"1997-12-19",12,48560
"1997-12-19",13,31938
"1997-12-19",14,2081
"1997-12-19",15,578
"1997-12-19",16,12305
"1997-12-19",18,898
"1997-12-19",19,160
"1997-12-26",1,47082
"1997-12-26",2,45872
"1997-12-26",3,48738
"1997-12-26",4,48883
"1997-12-26",5,46923
"1997-12-26",6,46780
"1997-12-26",7,47505
"1997-12-26",8,49865
"1997-12-26",9,46583
"1997-12-26",11,46634
"1997-12-26",12,48973
"1997-12-26",13,31591
"1997-12-26",14,1975
"1997-12-26",15,586
"1997-12-26",16,13116
"1997-12-26",18,897
"1997-12-26",19,166
"1998-01-02",1,46856
"1998-01-02",2,46020
"1998-01-02",3,48811
"1998-01-02",4,48939
"1998-01-02",5,47020
"1998-01-02",6,46772
"1998-01-02",7,47609
"1998-01-02",8,49962
"1998-01-02",9,46684
"1998-01-02",11,46725
"1998-01-02",12,49091
"1998-01-02",13,31890
"1998-01-02",14,2081
"1998-01-02",15,585
"1998-01-02",16,12938
"1998-01-02",18,836
"1998-01-02",19,152
"1998-01-09",1,47207
"1998-01-09",2,45997
"1998-01-09",3,48702
"1998-01-09",4,49058
"1998-01-09",5,46987
"1998-01-09",6,46395
"1998-01-09",7,47206
"1998-01-09",11,46842
"1998-01-09",12,49098
"1998-01-09",13,31712
"1998-01-09",14,2513
"1998-01-09",15,583
"1998-01-09",16,13111
"1998-01-09",18,853
"1998-01-09",19,164
"1998-01-16",1,47674
"1998-01-16",2,46381
"1998-01-16",3,42326
"1998-01-16",4,49260
"1998-01-16",5,47386
"1998-01-16",6,1201
"1998-01-16",7,48273
"1998-01-16",9,47347
"1998-01-16",10,43696
"1998-01-16",11,47178
"1998-01-16",12,49571
"1998-01-16",13,27531
"1998-01-16",14,3327
"1998-01-16",15,592
"1998-01-16",16,12687
"1998-01-16",17,5013
"1998-01-16",18,860
"1998-01-16",19,173
"1998-01-16",20,1048
"1998-01-23",1,47674
"1998-01-23",2,47124
"1998-01-23",3,42567
"1998-01-23",4,50015
"1998-01-23",5,48157
"1998-01-23",6,1630
"1998-01-23",7,49143
"1998-01-23",9,47866
"1998-01-23",10,42725
"1998-01-23",11,47911
"1998-01-23",12,50266
"1998-01-23",13,28183
"1998-01-23",14,2972
"1998-01-23",15,589
"1998-01-23",16,12690
"1998-01-23",17,5117
"1998-01-23",18,875
"1998-01-23",19,173
"1998-01-23",20,2639
"1998-01-30",1,47711
"1998-01-30",2,47559
"1998-01-30",3,42679
"1998-01-30",4,50540
"1998-01-30",5,48696
"1998-01-30",7,50446
"1998-01-30",8,552
"1998-01-30",9,48265
"1998-01-30",10,41186
"1998-01-30",11,48301
"1998-01-30",12,50568
"1998-01-30",13,28357
"1998-01-30",15,594
"1998-01-30",16,12588
"1998-01-30",17,5389
"1998-01-30",18,890
"1998-01-30",19,178
"1998-01-30",20,9139
"1998-02-06",2,47510
"1998-02-06",3,43008
"1998-02-06",4,50652
"1998-02-06",5,48686
"1998-02-06",7,49810
"1998-02-06",8,50610
"1998-02-06",9,48724
"1998-02-06",10,41134
"1998-02-06",11,48769
"1998-02-06",12,49543
"1998-02-06",13,28449
"1998-02-06",15,595
"1998-02-06",16,12556
"1998-02-06",17,5405
"1998-02-06",18,902
"1998-02-06",19,176
"1998-02-06",20,9298
"1998-02-06",21,48034
"1998-02-13",2,47002
"1998-02-13",3,43055
"1998-02-13",4,50816
"1998-02-13",5,48768
"1998-02-13",7,49903
"1998-02-13",8,51424
"1998-02-13",9,47995
"1998-02-13",10,40966
"1998-02-13",11,48525
"1998-02-13",12,50722
"1998-02-13",13,28407
"1998-02-13",15,599
"1998-02-13",16,12524
"1998-02-13",17,5661
"1998-02-13",18,905
"1998-02-13",19,176
"1998-02-13",20,9676
"1998-02-13",21,47898
"1998-02-20",2,46909
"1998-02-20",3,42921
"1998-02-20",4,50769
"1998-02-20",7,49244
"1998-02-20",8,51485
"1998-02-20",9,48862
"1998-02-20",10,40660
"1998-02-20",11,48562
"1998-02-20",12,50679
"1998-02-20",13,28390
"1998-02-20",15,543
"1998-02-20",16,12506
"1998-02-20",17,5681
"1998-02-20",18,943
"1998-02-20",19,177
"1998-02-20",20,9920
"1998-02-20",21,47827
"1998-02-20",22,48738
"1998-02-27",2,46684
"1998-02-27",3,43127
"1998-02-27",4,50405
"1998-02-27",7,49419
"1998-02-27",8,51122
"1998-02-27",9,48684
"1998-02-27",10,40483
"1998-02-27",11,48234
"1998-02-27",12,50476
"1998-02-27",13,28061
"1998-02-27",15,593
"1998-02-27",16,12602
"1998-02-27",17,5458
"1998-02-27",18,914
"1998-02-27",19,177
"1998-02-27",20,10105
"1998-02-27",21,47637
"1998-02-27",22,48460
"1998-03-06",2,46812
"1998-03-06",3,43444
"1998-03-06",4,50583
"1998-03-06",7,49233
"1998-03-06",8,48513
"1998-03-06",9,48712
"1998-03-06",10,40670
"1998-03-06",11,48419
"1998-03-06",12,47654
"1998-03-06",15,593
"1998-03-06",18,929
"1998-03-06",19,183
"1998-03-06",20,10136
"1998-03-06",21,47648
"1998-03-06",22,48768
"1998-03-13",2,46854
"1998-03-13",3,43352
"1998-03-13",4,52210
"1998-03-13",7,50855
"1998-03-13",8,48736
"1998-03-13",9,48106
"1998-03-13",11,48570
"1998-03-13",12,47848
"1998-03-13",15,14297
"1998-03-13",18,959
"1998-03-13",19,177
"1998-03-13",21,47802
"1998-03-13",22,48972
"1998-03-13",23,51234
"1998-03-20",2,47325
"1998-03-20",3,43396
"1998-03-20",4,51548
"1998-03-20",7,49641
"1998-03-20",8,48864
"1998-03-20",9,48011
"1998-03-20",11,48780
"1998-03-20",12,47916
"1998-03-20",13,17701
"1998-03-20",15,12935
"1998-03-20",16,12474
"1998-03-20",17,16445
"1998-03-20",18,959
"1998-03-20",19,174
"1998-03-20",21,47916
"1998-03-20",22,49082
"1998-03-20",23,51276
"1998-03-27",2,47557
"1998-03-27",3,43500
"1998-03-27",4,51077
"1998-03-27",7,49855
"1998-03-27",8,48919
"1998-03-27",9,48211
"1998-03-27",11,48987
"1998-03-27",12,48133
"1998-03-27",13,22790
"1998-03-27",15,12994
"1998-03-27",16,12951
"1998-03-27",17,11311
"1998-03-27",18,955
"1998-03-27",19,180
"1998-03-27",21,48241
"1998-03-27",22,49116
"1998-03-27",23,51500
"1998-04-03",2,47722
"1998-04-03",3,43660
"1998-04-03",4,51235
"1998-04-03",7,50258
"1998-04-03",8,49093
"1998-04-03",9,48361
"1998-04-03",11,49201
"1998-04-03",12,48284
"1998-04-03",13,23066
"1998-04-03",15,12921
"1998-04-03",16,12724
"1998-04-03",17,11478
"1998-04-03",18,951
"1998-04-03",19,178
"1998-04-03",21,48371
"1998-04-03",22,49424
"1998-04-03",23,51892
"1998-04-10",2,48219
"1998-04-10",3,43963
"1998-04-10",4,51714
"1998-04-10",7,50511
"1998-04-10",8,49705
"1998-04-10",9,49011
"1998-04-10",11,49664
"1998-04-10",12,48732
"1998-04-10",13,26125
"1998-04-10",15,12945
"1998-04-10",16,12595
"1998-04-10",17,9125
"1998-04-10",18,975
"1998-04-10",19,180
"1998-04-10",21,48823
"1998-04-10",22,49945
"1998-04-10",23,51934
"1998-04-17",2,48375
"1998-04-17",3,44160
"1998-04-17",4,51936
"1998-04-17",7,50904
"1998-04-17",8,49912
"1998-04-17",9,49195
"1998-04-17",11,49841
"1998-04-17",12,48887
"1998-04-17",13,23523
"1998-04-17",15,13052
"1998-04-17",16,12673
"1998-04-17",17,11324
"1998-04-17",18,1090
"1998-04-17",19,182
