"date","netsnow_top30","netgain_top30"
"1997-11-14",23272,12429
"1997-11-21",20441,11061
"1997-11-28",22790,12814
"1997-12-05",24288,13723
"1997-12-12",24495,14013
"1997-12-19",24077,13525
"1997-12-26",24320,13539
"1998-01-02",24258,13568
"1998-01-09",23980,13545
"1998-01-16",17267,7556
"1998-01-23",17196,8200
"1998-01-30",19683,9395
"1998-02-06",19192,8476
"1998-02-13",18369,8528
"1998-02-20",18823,8999
"1998-02-27",18337,8651
"1998-03-06",15663,7441
"1998-03-13",16252,8016
"1998-03-20",15392,7214
"1998-03-27",14713,6574
"1998-04-03",14442,6631
"1998-04-10",14370,6635
"1998-04-17",15246,7150
"1998-04-24",19329,10362
"1998-05-01",16076,7126
"1998-05-08",16628,7793
"1998-05-15",14663,6401
"1998-05-29",14370,6107
"1998-06-05",13457,5641
"1998-06-12",13953,5978
"1998-06-19",13166,5440
"1998-06-26",13185,5400
"1998-07-03",13390,5453
"1998-07-10",13018,5456
"1998-07-17",13436,5515
"1998-07-24",12807,5519
"1998-07-31",12790,5373
"1998-08-07",12076,5101
"1998-08-14",12538,5211
"1998-08-21",12734,5328
"1998-08-28",13259,5538
"1998-09-04",12232,5035
"1998-09-11",14877,7980
"1998-09-18",14246,7214
"1998-09-25",11317,4351
"1998-10-02",11172,4277
"1998-10-09",11264,4348
"1998-10-16",13459,6247
"1998-10-23",13311,6088
"1998-10-30",11722,4681
"1998-11-06",12981,5804
"1998-11-13",11698,4599
"1998-11-20",12277,5528
"1998-11-27",11970,4674
"1998-12-04",11541,4639
"1998-12-11",11617,4605
"1998-12-18",11740,4756
"1998-12-25",11755,4783
"1999-01-15",11032,4245
"1999-01-22",11134,4250
"1999-01-29",10989,4321
"1999-02-05",10853,4217
"1999-02-12",11187,4142
"1999-02-19",10809,4138
"1999-02-26",10816,3855
"1999-03-05",10615,3807
"1999-03-12",10594,4118
"1999-03-19",10792,4339
"1999-03-26",10927,4451
"1999-04-02",11531,5152
"1999-04-09",12808,4855
"1999-04-16",11113,4478
"1999-04-23",11210,4268
"1999-04-30",11283,4260
"1999-05-07",11042,4297
"1999-05-14",11534,4245
"1999-05-21",11263,4183
"1999-05-28",13716,6003
"1999-06-04",13685,5918
"1999-06-11",12186,4797
"1999-06-18",11103,4003
"1999-06-25",11585,4122
"1999-07-02",11711,4204
"1999-07-09",11738,4651
"1999-07-16",11164,4043
"1999-07-23",11231,4241
"1999-07-30",11903,4490
"1999-08-06",11582,4344
"1999-08-13",12004,4624
"1999-08-20",11919,4914
"1999-08-27",10538,4971
"1999-09-03",19043,13220
"1999-09-10",11017,5083
"1999-09-17",12511,5350
"1999-09-24",11938,4937
"1999-10-01",12385,4568
"1999-10-08",12891,4822
"1999-11-05",12874,4861
"2000-01-07",12214,5114
"2000-01-14",14743,7203
"2000-01-21",14248,6893
"2000-01-28",14726,7431
"2000-02-04",13419,7192
"2000-02-11",13563,7322
"2000-02-18",12393,5705
"2000-02-25",13797,5837
"2000-03-03",13902,5757
"2000-03-10",14072,6230
"2000-03-17",14145,6033
"2000-03-24",14503,6556
"2000-03-31",14743,6889
"2000-04-07",15099,6578
"2000-04-21",15234,6865
"2000-04-28",14852,6489
"2000-05-05",16595,7932
"2000-05-12",18731,9439
"2000-05-19",17924,9212
"2000-05-26",18880,9496
"2000-06-02",16694,7812
"2000-06-09",15735,6783
"2000-06-16",16650,7120
"2000-06-23",14840,6635
"2000-06-30",16320,7508
"2000-07-07",16921,7711
"2000-07-14",16442,7623
"2000-07-21",15403,7297
"2000-07-28",15097,7311
"2000-08-04",14590,7113
"2000-08-11",14576,7290
"2000-08-18",14677,7518
"2000-08-25",15599,7584
"2000-09-01",14566,7309
"2000-09-08",15093,7334
"2000-09-15",16885,8521
"2000-09-22",15934,7898
"2000-09-29",16024,8277
"2000-10-06",15667,8034
"2000-10-13",15087,7857
"2000-10-20",14981,7763
"2000-10-27",15184,7947
"2000-11-03",15824,8224
"2000-11-10",15699,8356
"2000-11-17",15734,8273
"2000-11-24",16508,8220
"2000-12-01",16234,8062
"2000-12-08",13305,7364
"2000-12-15",18525,10291
"2000-12-22",16641,8950
"2000-12-29",31975,22640
"2001-01-05",30128,21980
"2001-01-12",30754,21932
"2001-01-19",29146,21349
"2001-01-26",27506,20651
"2001-02-02",28151,20769
"2001-02-16",28470,21068
"2001-02-23",29822,21646
"2001-03-02",29786,21452
"2001-03-09",30334,21034
"2001-03-16",28685,20270
"2001-04-20",29876,20703
"2001-04-27",30482,20957
"2001-05-04",28378,15292
"2001-05-11",27025,14005
"2001-05-18",29366,16076
"2001-05-25",36541,18660
"2001-06-01",37230,19040
"2001-06-08",21993,12458
"2001-06-15",19556,9856
"2001-06-22",19315,9819
"2001-06-29",17424,8098
"2001-07-13",16543,7934
"2001-07-20",16919,7703
"2001-07-27",17078,8334
"2001-08-03",16624,8665
"2001-08-10",18583,9875
"2001-08-17",18021,9433
"2001-08-24",18328,9639
"2001-08-31",17659,8948
"2001-09-07",17908,9040
"2001-09-14",18820,9990
"2001-09-21",18163,8868
"2001-09-28",20317,11191
"2001-10-05",18890,9572
"2001-10-12",17233,8319
"2001-10-19",17086,8213
"2001-10-26",17053,8207
"2001-11-02",15338,6957
"2001-11-09",16013,7496
"2001-11-16",16589,7941
"2001-11-23",17274,7906
"2001-11-30",17169,7792
"2001-12-07",17140,7789
"2001-12-14",19831,10533
"2001-12-21",20553,10685
"2001-12-28",20383,10649
"2002-01-04",19630,10540
"2002-01-11",20915,11284
"2002-01-18",20475,10860
"2002-01-25",20003,10710
"2002-02-01",20845,11381
"2002-02-08",20799,10882
"2002-02-15",21154,10835
"2002-02-22",19759,10650
"2002-03-01",19947,10809
"2002-03-08",19445,10721
"2002-03-15",18127,8779
"2002-03-22",18614,9190
"2002-03-29",18803,9400
"2002-04-05",18578,9655
"2002-04-12",18136,9351
"2002-04-19",18428,9252
"2002-04-26",24596,12827
"2002-05-03",18442,9559
"2002-05-10",18819,9557
"2002-05-17",18234,9626
"2002-05-24",18306,9604
"2002-05-31",18611,9755
"2002-06-07",19488,10632
"2002-06-14",22435,11034
"2002-06-21",21597,11389
"2002-06-28",18829,10207
"2002-07-05",18037,10239
"2002-07-12",18699,10351
"2002-07-19",17775,9801
"2002-07-26",17396,9472
"2002-08-02",18074,9600
"2002-08-09",17632,9606
"2002-08-16",18100,9339
"2002-08-23",18786,10157
"2002-08-30",16773,8263
"2002-09-06",16485,7976
"2002-09-13",16509,7997
"2002-09-20",16710,8153
"2002-09-27",16919,8466
"2002-10-04",17662,9374
"2002-10-11",18775,10414
"2002-10-18",18595,10513
"2002-11-01",18467,9946
"2002-11-08",18882,10228
"2002-11-15",18416,9991
"2002-11-22",19842,11416
"2002-11-29",20047,11343
"2002-12-06",19261,10677
"2002-12-13",19875,10671
"2002-12-20",19517,11131
"2002-12-27",19545,10992
"2003-01-03",20025,11110
"2003-01-10",19264,10958
"2003-01-17",20185,11201
"2003-01-24",22372,12858
"2003-01-31",19504,10518
"2003-02-07",17173,8818
"2003-02-14",17159,8992
"2003-02-21",17089,9037
"2003-02-28",17154,9080
"2003-03-07",16944,9086
"2003-03-14",16955,9095
"2003-03-21",17555,9455
"2003-03-28",17463,9232
"2003-04-04",21081,12571
"2003-04-11",22860,14449
"2003-04-18",22846,14833
"2003-04-25",19010,11015
"2003-05-02",18954,11060
"2003-05-09",19490,11215
"2003-05-16",19600,11600
"2003-05-23",19403,11562
"2003-05-30",23963,13047
"2003-06-06",23694,13025
"2003-06-13",24053,13202
"2003-06-20",24000,12744
"2003-06-27",23796,12337
"2003-07-04",27154,15817
"2003-07-11",27738,16810
"2003-07-18",28274,17369
"2003-07-25",27454,16611
"2003-08-01",27023,16480
"2003-08-08",28222,17774
"2003-08-15",25614,15612
"2003-08-22",27771,17393
"2003-08-29",27147,16689
"2003-09-05",26570,16236
"2003-09-12",27495,17184
"2003-09-19",27659,17404
"2003-09-26",27272,17006
"2003-10-03",27926,17895
"2003-10-10",27803,17751
"2003-10-17",28763,18956
"2003-10-24",28900,19099
"2003-10-31",29265,19466
"2003-11-07",28154,18829
"2003-11-14",28026,18629
"2003-11-21",28684,18738
"2003-11-28",28549,18866
"2003-12-05",28599,18976
"2003-12-12",28480,18941
"2003-12-19",28066,19418
"2003-12-26",29252,20380
"2004-01-02",28920,20396
"2004-01-09",29009,20172
"2004-01-16",28549,19707
"2004-01-23",28566,19725
"2004-01-30",28451,19609
"2004-02-06",28427,19450
"2004-02-13",28704,19697
"2004-02-20",28595,19671
"2004-02-27",27642,18736
"2004-03-05",28864,19872
"2004-03-12",28628,19763
"2004-03-19",28635,19808
"2004-03-26",28182,19524
"2004-04-02",28372,19689
"2004-04-09",30017,20939
"2004-04-16",31178,21297
"2004-04-23",30310,20480
"2004-04-30",29356,20381
"2004-05-07",28788,19904
"2004-05-14",29137,21031
"2004-05-21",28619,19334
"2004-05-28",28929,20195
"2004-06-04",22121,14188
"2004-06-11",22939,13935
"2004-06-18",22445,14466
"2004-06-25",22783,14417
"2004-07-02",22606,14835
"2004-07-09",22875,15020
"2004-07-16",27155,19310
"2004-07-23",26848,19511
"2004-07-30",27374,19533
"2004-08-06",26737,19027
"2004-08-13",27227,19535
"2004-08-20",26027,18460
"2004-08-27",25150,18015
"2004-09-03",24256,17134
"2004-09-10",24347,17195
"2004-09-17",24586,17005
"2004-09-24",24835,17307
"2004-10-01",24839,17007
"2004-10-08",24576,17038
"2004-10-15",24661,17127
"2004-10-22",25041,17251
"2004-10-29",25245,17207
"2004-11-05",25477,16817
"2004-11-12",24918,16803
"2004-11-19",25519,17216
"2004-11-26",26332,17827
"2004-12-03",26157,17714
"2004-12-10",25786,17323
"2004-12-17",25614,17262
"2004-12-24",25654,17294
"2004-12-31",25848,17277
"2005-01-07",25772,17230
"2005-01-14",25554,17157
"2005-01-21",25712,17347
"2005-01-28",26184,17694
"2005-02-04",25990,18018
"2005-02-11",26312,18356
